criterion,variable,region,year,reference_data,unit,level_of_concern,lower,upper
Hydropower Capacity,Capacity|Electricity|Hydro,World,2030,,GW,medium,1175.37,1606.66
Hydropower Capacity,Capacity|Electricity|Hydro,World,2030,,GW,strong,979.43,2117.58
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,World,2030,,GW,medium,320.33,441.92
Near-term Nuclear Capacity,Capacity|Electricity|Nuclear,World,2030,,GW,strong,269.75,479.92
Long-term Nuclear Capacity,Capacity|Electricity|Nuclear,World,2040,,GW,medium,,694
Long-term Nuclear Capacity,Capacity|Electricity|Nuclear,World,2050,,GW,medium,,950
Near-term Carbon Capture,Carbon Capture,World,2030,,Mt CO2/yr,medium,44.02,152.47
Near-term Carbon Capture,Carbon Capture,World,2030,,Mt CO2/yr,strong,0,457.89
Long-term Carbon Capture,Carbon Capture,World,2035,,Mt CO2/yr,medium,,1300
Long-term Carbon Capture,Carbon Capture,World,2040,,Mt CO2/yr,medium,,4300
Solar PV Capacity,Capacity|Electricity|Solar,World,2025,,GW,medium,2083,3152
Solar PV Capacity,Capacity|Electricity|Solar,World,2025,,GW,strong,1609.2,3895.6
Solar PV Capacity,Capacity|Electricity|Solar,World,2030,,GW,medium,4350.2,8163.7
Solar PV Capacity,Capacity|Electricity|Solar,World,2030,,GW,strong,2683.2,10896
Onshore Wind Capacity,Capacity|Electricity|Wind|Onshore,World,2025,,GW,medium,1138,1570
Onshore Wind Capacity,Capacity|Electricity|Wind|Onshore,World,2025,,GW,strong,945,1862
Onshore Wind Capacity,Capacity|Electricity|Wind|Onshore,World,2030,,GW,medium,1719,2853
Onshore Wind Capacity,Capacity|Electricity|Wind|Onshore,World,2030,,GW,strong,1220,3655
