variable,year,region,unit,value
Land Cover,2020,MLT,million ha,0.0293893060993854
Land Cover,2020,MMR,million ha,66.4255164924541
Land Cover,2020,MNE,million ha,1.36970850576021
Land Cover,2020,MNG,million ha,156.052206634424
Land Cover,2020,MOZ,million ha,79.0379675028625
Land Cover,2020,MRT,million ha,103.892624564052
Land Cover,2020,MWI,million ha,11.9808516095008
Land Cover,2020,MYS,million ha,32.8026555877137
Land Cover,2020,NAM,million ha,82.4445338021831
Land Cover,2020,NER,million ha,118.513772363765
Land Cover,2020,NGA,million ha,91.1105180623299
Land Cover,2020,NIC,million ha,12.8953965516555
Land Cover,2020,NLD,million ha,3.51555154371925
Land Cover,2020,NOR,million ha,37.0726312434413
Land Cover,2020,NPL,million ha,14.730130831149
Land Cover,2020,NZL,million ha,26.2614584209498
Land Cover,2020,OMN,million ha,31.1247363083749
Land Cover,2020,PAK,million ha,87.3207396468259
Land Cover,2020,PAN,million ha,7.45875190056195
Land Cover,2020,PER,million ha,129.420781994382
Land Cover,2020,PHL,million ha,28.9126203051172
Land Cover,2020,PNG,million ha,46.2451724490457
Land Cover,2020,POL,million ha,31.1838055951541
Land Cover,2020,PRT,million ha,8.84425891285167
Land Cover,2020,PRY,million ha,40.0867562464836
Land Cover,2020,QAT,million ha,1.10889404386294
Land Cover,2020,ROU,million ha,23.5745610633237
Land Cover,2020,RUS,million ha,1680.35274115229
Land Cover,2020,RWA,million ha,2.54222694123763
Land Cover,2020,SAU,million ha,192.480404097675
Land Cover,2020,SDN,million ha,185.288479197206
Land Cover,2020,SEN,million ha,19.6744115093311
Land Cover,2020,SLB,million ha,2.59133334916124
Land Cover,2020,SLE,million ha,7.19695495273598
Land Cover,2020,SLV,million ha,2.05749879754062
Land Cover,2020,SRB,million ha,7.74256771506035
Land Cover,2020,STP,million ha,0.100606497577398
Land Cover,2020,SUR,million ha,14.5818439914324
Land Cover,2020,SVK,million ha,4.83389630862435
Land Cover,2020,SVN,million ha,2.02589688045888
Land Cover,2020,SWE,million ha,44.1679198456344
Land Cover,2020,SWZ,million ha,1.7138388188946
Land Cover,2020,TCD,million ha,127.074044293748
Land Cover,2020,TGO,million ha,5.70820473373164
Land Cover,2020,THA,million ha,51.5457705724951
Land Cover,2020,TJK,million ha,14.2119064266679
Land Cover,2020,TKM,million ha,46.9487488832265
Land Cover,2020,TLS,million ha,1.50307367140891
Land Cover,2020,TTO,million ha,0.508827227383778
Land Cover,2020,TUN,million ha,15.6385365741644
Land Cover,2020,TUR,million ha,77.8588605770915
Land Cover,2020,TZA,million ha,94.5290093980983
Land Cover,2020,UGA,million ha,24.2938477601564
Land Cover,2020,UKR,million ha,59.6536913669351
Land Cover,2020,URY,million ha,17.716093930701
Land Cover,2020,USA,million ha,941.731306440107
Land Cover,2020,UZB,million ha,44.7195563088968
Land Cover,2020,VCT,million ha,0.0343613336322034
Land Cover,2020,VNM,million ha,32.8920280881451
Land Cover,2020,VUT,million ha,1.12399538642642
Land Cover,2020,World,million ha,12837.3136136161
Land Cover,2020,ZAF,million ha,122.093220885718
Land Cover,2020,ZMB,million ha,75.471213628716
Land Cover,2020,ZWE,million ha,39.0522180786576
Land Cover|Cropland,2010,AFG,million ha,7.90198363411571
Land Cover|Cropland,2010,AGO,million ha,4.33015545354942
Land Cover|Cropland,2010,ALB,million ha,0.644103471652834
Land Cover|Cropland,2010,ARE,million ha,0.0819770794018704
Land Cover|Cropland,2010,ARG,million ha,38.8833753784515
Land Cover|Cropland,2010,ARM,million ha,0.507456619945061
Land Cover|Cropland,2010,ATG,million ha,0.0011029121684748
Land Cover|Cropland,2010,AUS,million ha,25.5657814622606
Land Cover|Cropland,2010,AUT,million ha,1.41553712014985
Land Cover|Cropland,2010,AZE,million ha,2.08205741834565
Land Cover|Cropland,2010,BDI,million ha,1.3231342314746
Land Cover|Cropland,2010,BEL,million ha,0.863904694395433
Land Cover|Cropland,2010,BEN,million ha,3.19076541097312
Land Cover|Cropland,2010,BFA,million ha,5.37542237790578
Land Cover|Cropland,2010,BGD,million ha,8.26863396722272
Land Cover|Cropland,2010,BGR,million ha,3.47260694164616
Land Cover|Cropland,2010,BHR,million ha,0.0011456588800264
Land Cover|Cropland,2010,BHS,million ha,0.0035712120315977
Land Cover|Cropland,2010,BIH,million ha,1.08962452748295
Land Cover|Cropland,2010,BLR,million ha,5.70925382323674
Land Cover|Cropland,2010,BLZ,million ha,0.111206348817482
Land Cover|Cropland,2010,BOL,million ha,4.45355622765343
Land Cover|Cropland,2010,BRA,million ha,47.337534259638
Land Cover|Cropland,2010,BRB,million ha,0.0033232165122986
Land Cover|Cropland,2010,BTN,million ha,0.149601402443658
Land Cover|Cropland,2010,BWA,million ha,0.281058702061757
Land Cover|Cropland,2010,CAF,million ha,1.81423984233542
Land Cover|Cropland,2010,CAN,million ha,37.6653386467372
Land Cover|Cropland,2010,CHE,million ha,0.434925280831283
Land Cover|Cropland,2010,CHL,million ha,1.71530302368455
Land Cover|Cropland,2010,CHN,million ha,132.593628594569
Land Cover|Cropland,2010,CIV,million ha,7.23825585026222
Land Cover|Cropland,2010,CMR,million ha,7.44049522798608
Land Cover|Cropland,2010,COD,million ha,10.2764191674916
Land Cover|Cropland,2010,COG,million ha,0.643023470794901
Land Cover|Cropland,2010,COL,million ha,3.32687056612626
Land Cover|Cropland,2010,COM,million ha,0.0430327886666308
Land Cover|Cropland,2010,CRI,million ha,0.509944407590418
Land Cover|Cropland,2010,CYP,million ha,0.0800651595812334
Land Cover|Cropland,2010,CZE,million ha,2.60753330738142
Land Cover|Cropland,2010,DEU,million ha,11.8692290337705
Land Cover|Cropland,2010,DJI,million ha,0.0019947227963383
Land Cover|Cropland,2010,DNK,million ha,2.00112022258947
Land Cover|Cropland,2010,DOM,million ha,1.11825803879671
Land Cover|Cropland,2010,DZA,million ha,8.17962408640653
Land Cover|Cropland,2010,ECU,million ha,2.51220302877488
Land Cover|Cropland,2010,EGY,million ha,3.52225088319827
Land Cover|Cropland,2010,ESP,million ha,16.8814964279208
Land Cover|Cropland,2010,EST,million ha,0.632212536367812
Land Cover|Cropland,2010,ETH,million ha,15.7047900381295
Land Cover|Cropland,2010,FIN,million ha,2.15735573896535
