variable,year,region,unit,value
GDP|PPP,2020,GNB,billion USD_2010/yr,3.988978032
GDP|PPP,2020,GNQ,billion USD_2010/yr,25.201432176000004
GDP|PPP,2020,GRC,billion USD_2010/yr,288.2672484
GDP|PPP,2020,GRD,billion USD_2010/yr,1.5410079360000002
GDP|PPP,2020,GRL,billion USD_2010/yr,3.460154784
GDP|PPP,2020,GTM,billion USD_2010/yr,165.28356154
GDP|PPP,2020,GUF,billion USD_2010/yr,0.0
GDP|PPP,2020,GUM,billion USD_2010/yr,0.0
GDP|PPP,2020,GUY,billion USD_2010/yr,14.134383551999996
GDP|PPP,2020,HKG,billion USD_2010/yr,396.96483042
GDP|PPP,2020,HMD,billion USD_2010/yr,0.0
GDP|PPP,2020,HND,billion USD_2010/yr,51.11151552
GDP|PPP,2020,HRV,billion USD_2010/yr,110.07402514
GDP|PPP,2020,HTI,billion USD_2010/yr,30.13604856
GDP|PPP,2020,HUN,billion USD_2010/yr,287.71301092
GDP|PPP,2020,IDN,billion USD_2010/yr,2875.1801998
GDP|PPP,2020,IMN,billion USD_2010/yr,0.0
GDP|PPP,2020,IND,billion USD_2010/yr,9160.245922
GDP|PPP,2020,IOT,billion USD_2010/yr,0.0
GDP|PPP,2020,IRL,billion USD_2010/yr,449.92230638
GDP|PPP,2020,IRN,billion USD_2010/yr,1061.9381161999995
GDP|PPP,2020,IRQ,billion USD_2010/yr,474.01046092
GDP|PPP,2020,ISL,billion USD_2010/yr,18.309665856
GDP|PPP,2020,ISR,billion USD_2010/yr,347.08571374
GDP|PPP,2020,ITA,billion USD_2010/yr,2273.9045464
GDP|PPP,2020,JAM,billion USD_2010/yr,22.946497392
GDP|PPP,2020,JEY,billion USD_2010/yr,0.0
GDP|PPP,2020,JOR,billion USD_2010/yr,82.51470964800001
GDP|PPP,2020,JPN,billion USD_2010/yr,4713.6727794
GDP|PPP,2020,KAZ,billion USD_2010/yr,527.0934980599999
GDP|PPP,2020,KEN,billion USD_2010/yr,224.6892101
GDP|PPP,2020,KGZ,billion USD_2010/yr,32.618456112000004
GDP|PPP,2020,KHM,billion USD_2010/yr,86.38920542400001
GDP|PPP,2020,KIR,billion USD_2010/yr,0.3088091999999999
GDP|PPP,2020,KNA,billion USD_2010/yr,1.1238107999999998
GDP|PPP,2020,KOR,billion USD_2010/yr,2034.8306492000004
GDP|PPP,2020,KWT,billion USD_2010/yr,184.71054362
GDP|PPP,2020,LAO,billion USD_2010/yr,48.583245936
GDP|PPP,2020,LBN,billion USD_2010/yr,64.59193305599999
GDP|PPP,2020,LBR,billion USD_2010/yr,6.658308384
GDP|PPP,2020,LBY,billion USD_2010/yr,75.023880768
GDP|PPP,2020,LCA,billion USD_2010/yr,3.079414416
GDP|PPP,2020,LIE,billion USD_2010/yr,0.0
GDP|PPP,2020,LKA,billion USD_2010/yr,256.27054028000003
GDP|PPP,2020,LSO,billion USD_2010/yr,4.88291472
GDP|PPP,2020,LTU,billion USD_2010/yr,95.636271796
GDP|PPP,2020,LUX,billion USD_2010/yr,65.11124188800001
GDP|PPP,2020,LVA,billion USD_2010/yr,53.497996656
GDP|PPP,2020,MAC,billion USD_2010/yr,51.793096992
GDP|PPP,2020,MAF,billion USD_2010/yr,0.0
GDP|PPP,2020,MAR,billion USD_2010/yr,261.5395984
GDP|PPP,2020,MCO,billion USD_2010/yr,0.0
GDP|PPP,2020,MDA,billion USD_2010/yr,31.600431791999995
GDP|PPP,2020,MDG,billion USD_2010/yr,38.98505577600001
GDP|PPP,2020,MDV,billion USD_2010/yr,8.041009536
GDP|PPP,2020,MEX,billion USD_2010/yr,2259.7288854
GDP|PPP,2020,MHL,billion USD_2010/yr,0.224689392
GDP|PPP,2020,MKD,billion USD_2010/yr,30.782082864
GDP|PPP,2020,MLI,billion USD_2010/yr,42.681142608
GDP|PPP,2020,MLT,billion USD_2010/yr,22.02250752
GDP|PPP,2020,MMR,billion USD_2010/yr,255.19903146
GDP|PPP,2020,MNE,billion USD_2010/yr,11.446933968
GDP|PPP,2020,MNG,billion USD_2010/yr,41.60046504
GDP|PPP,2020,MNP,billion USD_2010/yr,0.0
GDP|PPP,2020,MOZ,billion USD_2010/yr,37.903050192
GDP|PPP,2020,MRT,billion USD_2010/yr,22.883734992
GDP|PPP,2020,MSR,billion USD_2010/yr,0.0
GDP|PPP,2020,MTQ,billion USD_2010/yr,0.0
GDP|PPP,2020,MUS,billion USD_2010/yr,25.09959336
GDP|PPP,2020,MWI,billion USD_2010/yr,26.839676352000005
GDP|PPP,2020,MYS,billion USD_2010/yr,853.0311937600002
GDP|PPP,2020,MYT,billion USD_2010/yr,0.0
GDP|PPP,2020,NAM,billion USD_2010/yr,23.070657792
GDP|PPP,2020,NCL,billion USD_2010/yr,0.0
