source,variable,period,region,unit,value
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,CUW,Mt CO2/yr,4.2125
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,CXR,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,CYM,Mt CO2/yr,1.312
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,CYP,Mt CO2/yr,8.8668
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,CZE,Mt CO2/yr,111.9138
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,DEU,Mt CO2/yr,737.0204
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,DJI,Mt CO2/yr,1.6592
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,DMA,Mt CO2/yr,1.184
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,DNK,Mt CO2/yr,47.1135
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,DOM,Mt CO2/yr,21.6804
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,DZA,Mt CO2/yr,115.1732
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ECU,Mt CO2/yr,37.6393
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,EGY,Mt CO2/yr,204.7032
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ERI,Mt CO2/yr,1.6421
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ESH,Mt CO2/yr,1.1342
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ESP,Mt CO2/yr,273.6387
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,EST,Mt CO2/yr,53.7236
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ETH,Mt CO2/yr,7.7332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,FIN,Mt CO2/yr,62.8862
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,FJI,Mt CO2/yr,2.2625
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,FLK,Mt CO2/yr,1.1488
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,FRA,Mt CO2/yr,362.0093
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,FRO,Mt CO2/yr,1.1333
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,FSM,Mt CO2/yr,1.2934
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GAB,Mt CO2/yr,7.0408
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GBR,Mt CO2/yr,498.1533
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GEO,Mt CO2/yr,6.8533
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GGY,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GHA,Mt CO2/yr,11.4733
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GIB,Mt CO2/yr,1.6093
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GIN,Mt CO2/yr,3.6802
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GLP,Mt CO2/yr,1.6527
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GMB,Mt CO2/yr,1.6132
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GNB,Mt CO2/yr,1.3787
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GNQ,Mt CO2/yr,5.5074
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GRC,Mt CO2/yr,84.7522
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GRD,Mt CO2/yr,1.2158
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GRL,Mt CO2/yr,1.1338
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,GTM,Mt CO2/yr,12.5883
